name,source,modifications,branch
ast,git@github.com:whitequark/ast.git,,
chef,git@github.com:chef/chef.git,,
compat_resource,git@github.com:chef-cookbooks/compat_resource.git,git@github.com:h4ck3rm1k3/compat_resource.git,opal
electron,git@github.com:electron/electron.git,,
ffi,git@github.com:ffi/ffi.git,,git@github.com:h4ck3rm1k3/ffi.git,opal
ffi-yajl,git@github.com:chef/ffi-yajl.git,git@github.com:h4ck3rm1k3/ffi-yajl.git,opal
fuzzyurl.rb,git@github.com:gamache/fuzzyurl.rb.git,,
httpd,git@github.com:chef-cookbooks/httpd.git,,
logger,git@github.com:nahi/logger.git,,
mixlib-authentication,git@github.com:chef/mixlib-authentication.git,,
mixlib-config,git@github.com:chef/mixlib-config.git,,
mixlib-log,git@github.com:chef/mixlib-log.git,,
mixlib-shellout,git@github.com:chef/mixlib-shellout.git,git@github.com:h4ck3rm1k3/mixlib-shellout.git,opal
ohai,git@github.com:chef/ohai.git,,
opal,git@github.com:opal/opal.git,git@github.com:h4ck3rm1k3/opal,source_lines
parser,git@github.com:whitequark/parser.git
syslog_logger,git@github.com:ngmoco/syslog_logger.git,git@github.com:h4ck3rm1k3/syslog_logger.git,opal
chef_zero,git@github.com:chef/chef-zero.git,git@github.com:h4ck3rm1k3/chef-zero.git,opal
cheffish,git@github.com:chef/cheffish.git,git@github.com:h4ck3rm1k3/cheffish.git,opal
chef-provisioning,git@github.com:chef/chef-provisioning.git,git@github.com:h4ck3rm1k3/chef-provisioning.git,opal
git@github.com:mizzy/serverspec.git
git@github.com:rubysl/rubysl-rexml.git,git@github.com:h4ck3rm1k3/rubysl-rexml.git,opal
